time,node,CPU_Power (W),MEM_Power (W),PSU1_IIN (% A),PSU1_PIN (W),PSU1_POUT (W),PSU2_IIN (% A),PSU2_PIN (W),PSU2_POUT (W),Total_Power (W)
2023-06-15T10:54:51.502,n3,44.0,0.0,0.5,96.0,68.0,0.45,96.0,76.0,198.0
2023-06-15T10:54:51.503,n4,0.0,0.0,0.15,24.0,12.0,0.15,24.0,12.0,48.0
2023-06-15T10:55:21.594,n1,74.0,39.0,0.6,120.0,108.0,0.55,114.0,100.0,240.0
2023-06-15T10:55:21.594,n2,82.0,44.0,0.65,132.0,108.0,0.6,126.0,108.0,258.0
2023-06-15T10:55:21.594,n3,53.0,23.0,0.5,96.0,76.0,0.45,96.0,76.0,198.0
2023-06-15T10:55:21.594,n4,0.0,0.0,0.15,24.0,12.0,0.15,24.0,12.0,48.0
2023-06-15T10:55:51.624,n1,59.0,30.0,0.55,114.0,92.0,0.55,108.0,92.0,222.0
2023-06-15T10:55:51.624,n2,82.0,45.0,0.65,132.0,116.0,0.6,126.0,100.0,258.0
2023-06-15T10:55:51.624,n3,45.0,0.0,0.5,102.0,68.0,0.45,96.0,68.0,198.0
2023-06-15T10:55:51.624,n4,0.0,0.0,0.15,24.0,12.0,0.15,24.0,12.0,48.0
2023-06-15T10:56:21.615,n1,63.0,35.0,0.55,114.0,100.0,0.55,114.0,92.0,228.0
2023-06-15T10:56:21.615,n2,82.0,42.0,0.65,132.0,100.0,0.6,126.0,108.0,258.0
2023-06-15T10:56:21.615,n3,45.0,0.0,0.5,96.0,68.0,0.45,96.0,84.0,198.0
2023-06-15T10:56:21.615,n4,0.0,0.0,0.15,24.0,12.0,0.15,24.0,12.0,48.0
2023-06-15T10:56:51.614,n1,77.0,38.0,0.6,120.0,92.0,0.55,114.0,92.0,234.0
2023-06-15T10:56:51.614,n2,82.0,44.0,0.65,132.0,100.0,0.6,126.0,108.0,258.0
2023-06-15T10:56:51.614,n3,50.0,21.0,0.5,96.0,68.0,0.45,102.0,68.0,198.0
2023-06-15T10:56:51.614,n4,0.0,0.0,0.15,24.0,12.0,0.15,24.0,12.0,48.0
2023-06-15T10:57:21.714,n1,67.0,41.0,0.6,126.0,100.0,0.55,120.0,108.0,240.0
2023-06-15T10:57:21.715,n2,82.0,42.0,0.65,138.0,116.0,0.6,126.0,116.0,258.0
2023-06-15T10:57:21.715,n3,45.0,23.0,0.5,96.0,68.0,0.5,96.0,68.0,198.0
2023-06-15T10:57:21.715,n4,0.0,0.0,0.15,24.0,12.0,0.15,24.0,12.0,48.0
2023-06-15T10:57:51.644,n1,61.0,37.0,0.55,114.0,92.0,0.55,108.0,92.0,222.0
2023-06-15T10:57:51.644,n2,82.0,46.0,0.65,132.0,108.0,0.6,126.0,116.0,258.0
2023-06-15T10:57:51.645,n3,43.0,0.0,0.5,96.0,68.0,0.5,96.0,76.0,198.0
2023-06-15T10:57:51.645,n4,0.0,0.0,0.15,24.0,12.0,0.15,24.0,12.0,48.0
2023-06-15T10:58:21.711,n1,60.0,31.0,0.55,114.0,92.0,0.55,108.0,92.0,222.0
2023-06-15T10:58:21.711,n2,82.0,44.0,0.65,132.0,100.0,0.6,126.0,124.0,258.0
2023-06-15T10:58:21.711,n3,43.0,7.0,0.5,96.0,76.0,0.5,102.0,76.0,198.0
2023-06-15T10:58:21.711,n4,0.0,0.0,0.15,24.0,12.0,0.15,24.0,12.0,48.0
2023-06-15T10:58:51.682,n1,65.0,34.0,0.55,114.0,92.0,0.55,114.0,108.0,228.0
2023-06-15T10:58:51.682,n2,84.0,46.0,0.65,132.0,100.0,0.6,126.0,108.0,258.0
2023-06-15T10:58:51.682,n3,43.0,2.0,0.5,102.0,76.0,0.5,96.0,76.0,198.0
2023-06-15T10:58:51.682,n4,0.0,0.0,0.15,24.0,12.0,0.15,24.0,12.0,48.0
2023-06-15T10:59:21.777,n1,61.0,35.0,0.55,114.0,92.0,0.55,108.0,92.0,222.0
2023-06-15T10:59:21.777,n2,82.0,44.0,0.65,132.0,100.0,0.6,126.0,116.0,258.0
2023-06-15T10:59:21.777,n3,44.0,0.0,0.5,102.0,76.0,0.5,102.0,76.0,198.0
2023-06-15T10:59:21.777,n4,0.0,0.0,0.15,24.0,12.0,0.15,24.0,12.0,48.0
2023-06-15T10:59:51.752,n1,64.0,29.0,0.55,114.0,92.0,0.55,108.0,84.0,222.0
2023-06-15T10:59:51.753,n2,82.0,45.0,0.65,132.0,116.0,0.6,126.0,108.0,258.0
2023-06-15T10:59:51.753,n3,46.0,0.0,0.5,96.0,76.0,0.45,96.0,76.0,192.0
2023-06-15T10:59:51.753,n4,0.0,0.0,0.15,24.0,12.0,0.15,24.0,12.0,48.0
2023-06-15T11:00:21.812,n1,88.0,44.0,0.6,126.0,108.0,0.6,120.0,108.0,246.0
2023-06-15T11:00:21.812,n2,82.0,44.0,0.65,132.0,108.0,0.6,126.0,108.0,258.0
